numero,descripcion,codigo,cantidad,modelos,observaciones,archivo_origen
11,"Protección","L167664",1,"6415","","ST350814.md"
12,"Arandela","24M7028",2,"6415","10.500 X 20 X 2 mm","ST350814.md"
13,"Tornillo","19M3143",2,"6415","M10 X 20","ST350814.md"
14,"Abrazadera","AL82256",1,"6415","","ST350814.md"
1,"Protección","L158590",1,"6415","","ST350816.md"
2,"Protección","L158499",1,"6615","","ST350816.md"
3,"Tubo de escape","DQ53440",1,"6415","","ST350816.md"
4,"Tubo de escape","DQ64409",1,"6415","","ST350816.md"
5,"Tubo de escape","DQ53441",1,"6615","","ST350816.md"
6,"Tubo de escape","DQ64412",1,"6615","","ST350816.md"
7,"Tornillo","19M7785",2,"6415, 6615","M10 X 25","ST350816.md"
8,"Soporte","AL153600",1,"6415","","ST350816.md"
9,"Soporte","AL159691",1,"6615","","ST350816.md"
10,"Abrazadera","AL119409",1,"6415","","ST350816.md"
11,"Abrazadera","AL173829",1,"6615","","ST350816.md"
12,"Tornillo","19M8851",4,"6415, 6615","M6 X 12","ST350816.md"
13,"Abrazadera","AL177823",2,"6415, 6615","","ST350816.md"
14,"Tubo de escape","CQ51594",1,"6415","","ST350816.md"
15,"Tubo de escape","CQ51579",1,"6615","","ST350816.md"
16,"Tubo de escape","AL204799",1,"6415","","ST350816.md"
17,"Tubo de escape","AL204800",1,"6615","","ST350816.md"
18,"Tuerca de empuje","L79493",2,"6415, 6615","","ST350816.md"
1,"Protección","DQ52650",1,"6415","","ST350817.md"
2,"Abrazadera","DQ48309",1,"6415","UP","ST350817.md"
3,"Abrazadera","DQ48355",1,"6415","LOW","ST350817.md"
4,"Tuerca","14M7273",2,"6415","M8","ST350817.md"
5,"Arandela","24M7055",2,"6415","8.400 X 16 X 1.600 mm","ST350817.md"
6,"Tuerca de empuje","L79493",8,"6415","","ST350817.md"
7,"Tornillo","19M7163",2,"6415","M8 X 25","ST350817.md"
8,"Tuerca de seguridad","14M7165",4,"6415","M6","ST350817.md"
9,"Arandela","24M7309",2,"6415","6.600 X 22 X 2 mm","ST350817.md"
10,"Arandela","24M7043",2,"6415","12 X 25 X 3 mm","ST350817.md"
11,"Arandela de seguridad","L37975",4,"6415","","ST350817.md"
12,"Aislante","L173428",2,"6415","","ST350817.md"
13,"Soporte","L114742",1,"6415","UP","ST350817.md"
14,"Casquillo","L114724",2,"6415","","ST350817.md"
15,"Tornillo","19M7763",2,"6415","M6 X 75","ST350817.md"
16,"Soporte","L114743",1,"6415","LOW","ST350817.md"
17,"Arandela","24M7362",3,"6415","8.400 X 16 X 1.600 mm","ST350817.md"
18,"Tornillo","19M8675",3,"6415","M8 X 16","ST350817.md"
19,"Tornillo","19M8851",9,"6415","M6 X 12","ST350817.md"
20,"Abrazadera","AL159936",1,"6415","(ORDER AL169564)","ST350817.md"
21,"Abrazadera","AL169564",1,"6415","","ST350817.md"
22,"Tornillo","19M9361",1,"6415","M8 X 60","ST350817.md"
23,"Tubo de escape","AL152980",1,"6415","","ST350817.md"
24,"Arandela","24M7213",2,"6415","10.500 X 25 X 4 mm","ST350817.md"
25,"Tornillo","19M7784",2,"6415","M10 X 20","ST350817.md"
26,"Abrazadera","AL80714",2,"6415","","ST350817.md"
27,"Protección","CQ55290",1,"6415","","ST350817.md"
28,"Protección","AL164075",1,"6415","","ST350817.md"
29,"Protección","L150170",1,"6415","","ST350817.md"
30,"Abrazadera","L151414",1,"6415","","ST350817.md"
31,"Tuerca con brida","14M7303",1,"6415","M6","ST350817.md"
32,"Protección","L158903",1,"6415","","ST350817.md"
33,"Protección","L156740",1,"6415","","ST350817.md"
1,"Protección","DQ52454",1,"6615","","ST350818.md"
2,"Abrazadera","AL201997",1,"6615","UP SUB FOR DQ47976","ST350818.md"
3,"Abrazadera","DQ48308",1,"6615","LOW","ST350818.md"
4,"Tuerca","14M7273",2,"6615","M8","ST350818.md"
5,"Arandela","24M7055",2,"6615","8.400 X 16 X 1.600 mm","ST350818.md"
6,"Tuerca de empuje","L79493",8,"6615","","ST350818.md"
7,"Tornillo","19M7163",2,"6615","M8 X 25","ST350818.md"
8,"Tuerca de seguridad","14M7165",4,"6615","M6","ST350818.md"
9,"Arandela","24M7309",2,"6615","6.600 X 22 X 2 mm","ST350818.md"
10,"Arandela","24M7043",2,"6615","12 X 25 X 3 mm","ST350818.md"
11,"Arandela de seguridad","L37975",4,"6615","","ST350818.md"
12,"Aislante","L173428",2,"6615","","ST350818.md"
13,"Soporte","L114742",1,"6615","UP","ST350818.md"
14,"Casquillo","L114724",2,"6615","","ST350818.md"
15,"Tornillo","19M7763",2,"6615","M6 X 75","ST350818.md"
16,"Soporte","L114743",1,"6615","LOW","ST350818.md"
17,"Arandela","24M7362",3,"6615","8.400 X 16 X 1.600 mm","ST350818.md"
18,"Tornillo","19M8675",3,"6615","M8 X 16","ST350818.md"
19,"Tornillo","19M8851",9,"6615","M6 X 12","ST350818.md"
20,"Abrazadera","AL159937",2,"6615","(ORDER AL169565)","ST350818.md"
21,"Abrazadera","AL169565",1,"6615","","ST350818.md"
22,"Tubo de escape","AL151148",1,"6615","","ST350818.md"
23,"Protección","AL155255",1,"6615","","ST350818.md"
24,"Presilla","L150947",1,"6615","","ST350818.md"
25,"Tuerca con brida","14M7303",1,"6615","M6","ST350818.md"
26,"Abrazadera","AL151150",2,"6615","","ST350818.md"
27,"Tubo de escape","CQ55291",1,"6615","","ST350818.md"
28,"Protección","L159023",1,"6615","","ST350818.md"
29,"Tornillo","19M9361",1,"6615","M8 X 60","ST350818.md"
