nombre,stock,categoria,ubicacion,codigo,descripcion
"Tornillo",8,"Tornillo","6415","19M7077","M6 X 20"
"Tornillo",4,"Tornillo","6415","19M7139","M8 X 20"
"Tuerca",4,"Tuerca","6415","14M7029","M8"
"Soporte",1,"Soporte","6415","L158250",""
"Tornillo",4,"Tornillo","6415","19M7297","M8 X 12"
"Refrigerador de aceite",1,"Refrigerador","6415","AL162700","(ORD AL172765, AL168815, AL163684, (2) DQ52819, (2) Z35271)"
"Tornillo",1,"Tornillo","6615","19M7162","M8 X 16"
"Arandela",1,"Arandela","6615","24M7055","8.400 X 16 X 1.600 mm"
"Soporte",1,"Soporte","6615","L158239",""
"Banda de guarnición",1,"Banda","6615","L158235",""
"Tuerca",1,"Tuerca","6615","14M7272","M6"
"Arandela",1,"Arandela","6615","24M7088","6.600 X 12 X 1.600 mm"
"Tornillo",1,"Tornillo","6615","19M7077","M6 X 20"
"Refrigerador de aceite",1,"Refrigerador","6615","AL163685","ORDER AL163684, AL168815, AL172765, DQ52819, Z35271 AND 19M7297"
"Tornillo",4,"Tornillo","6615","19M7297","M8 X 12"
"Soporte",1,"Soporte","6615","L158249",""
"Tuerca",4,"Tuerca","6615","14M7029","M8"
"Tornillo",4,"Tornillo","6615","19M7139","M8 X 20"
"Refrigerador de aceite",1,"Refrigerador","6415","AL172765",""
"Malla",2,"Componente","6415","DQ52819","USE WITH AL172765"
"Casquillo",2,"Componente","6415","Z35271","USE WITH AL172765"
"Malla",1,"Componente","6415","AL163684","USE WITH AL172765"
"Soporte",1,"Soporte","6415","AL168815","USE WITH AL172765"
"Tornillo",4,"Tornillo","6415","19M7297","M8 X 12"
"Tornillo",8,"Tornillo","6415, 6615","19M7866","M8 X 20, (SUB FOR 19M7162)"
"Tuerca",4,"Tuerca","6615","14M7029","M8"
"Tuerca",4,"Tuerca","6415","14M7029","M8"
"Soporte",1,"Soporte","6615","L158239",""
"Soporte",1,"Soporte","6415","L168286",""
"Banda de guarnición",1,"Banda","6615","L158235",""
"Banda de guarnición",1,"Banda","6415","L165282",""
"Tuerca",1,"Tuerca","6615","14M7272","M6"
"Tuerca",1,"Tuerca","6415","14M7272","M6"
"Arandela",1,"Arandela","6615","24M7088","6.600 X 12 X 1.600 mm"
"Arandela",1,"Arandela","6415","24M7088","6.600 X 12 X 1.600 mm"
"Tornillo",1,"Tornillo","6615","19M7077","M6 X 20"
"Tornillo",1,"Tornillo","6415","19M7077","M6 X 20"
"Banda de guarnición",1,"Banda","6415","L159013",""
"Refrigerador de aceite",1,"Refrigerador","6615","AL172766",""
