nombre,stock,categoria,ubicacion,codigo,descripcion
"Protección",1,"Componente","6415","L150170",""
"Abrazadera",1,"Abrazadera","6415","L151414",""
"Tuerca con brida",1,"Tuerca","6415","14M7303","M6"
"Protección",1,"Componente","6415","L158903",""
"Protección",1,"Componente","6415","L156740",""
"Protección",1,"Componente","6615","DQ52454",""
"Abrazadera",1,"Abrazadera","6615","AL201997","UP SUB FOR DQ47976"
"Abrazadera",1,"Abrazadera","6615","DQ48308","LOW"
"Tuerca",2,"Tuerca","6615","14M7273","M8"
"Arandela",2,"Arandela","6615","24M7055","8.400 X 16 X 1.600 mm"
"Tuerca de empuje",8,"Tuerca","6615","L79493",""
"Tornillo",2,"Tornillo","6615","19M7163","M8 X 25"
"Tuerca de seguridad",4,"Tuerca","6615","14M7165","M6"
"Arandela",2,"Arandela","6615","24M7309","6.600 X 22 X 2 mm"
"Arandela",2,"Arandela","6615","24M7043","12 X 25 X 3 mm"
"Arandela de seguridad",4,"Arandela","6615","L37975",""
"Aislante",2,"Aislante","6615","L173428",""
"Soporte",1,"Soporte","6615","L114742","UP"
"Casquillo",2,"Componente","6615","L114724",""
"Tornillo",2,"Tornillo","6615","19M7763","M6 X 75"
"Soporte",1,"Soporte","6615","L114743","LOW"
"Arandela",3,"Arandela","6615","24M7362","8.400 X 16 X 1.600 mm"
"Tornillo",3,"Tornillo","6615","19M8675","M8 X 16"
"Tornillo",9,"Tornillo","6615","19M8851","M6 X 12"
"Abrazadera",2,"Abrazadera","6615","AL159937","(ORDER AL169565)"
"Abrazadera",1,"Abrazadera","6615","AL169565",""
"Tubo de escape",1,"Componente","6615","AL151148",""
"Protección",1,"Componente","6615","AL155255",""
"Presilla",1,"Componente","6615","L150947",""
"Tuerca con brida",1,"Tuerca","6615","14M7303","M6"
"Abrazadera",2,"Abrazadera","6615","AL151150",""
"Tubo de escape",1,"Componente","6615","CQ55291",""
"Protección",1,"Componente","6615","L159023",""
"Tornillo",1,"Tornillo","6615","19M9361","M8 X 60"
