nombre,stock,categoria,ubicacion,codigo,descripcion
Eslabón de cadena,4,Componente,Embocador - Cadena transportadora,AH220541,Eslabón de cadena
Tuerca,8,Tuerca,Embocador - Cadena transportadora,H226769,Tuerca
Cadena de rodillos,1,Componente,Embocador - Cadena transportadora,AXE89726,Cadena de rodillos (SUB FOR APPL AXE27247)
Tuerca de seguridad M10,108,Tuerca,Embocador - Cadena transportadora,14M7517,Tuerca de seguridad M10
Tornillo M10 x 25,108,Tornillo,Embocador - Cadena transportadora,19M7402,Tornillo M10 x 25
Listón,9,Componente,Embocador - Cadena transportadora,HXE24328,Listón
Listón (SUB FOR APPL HXE42402),18,Componente,Embocador - Cadena transportadora,HXE172683,Listón (SUB FOR APPL HXE42402)
Eslabón de cadena,1,Componente,Embocador - Cadena transportadora,AXE28719,Eslabón de cadena
Eslabón de cadena,1,Componente,Embocador - Cadena transportadora,AH220867,Eslabón de cadena
